Gene_ID	ERR950160	ERR950180	ERR950178	ERR950163	ERR950162	ERR950159	ERR950181	ERR950158	ERR950161	ERR950182	ERR950179	ERR950177	ERR950187	ERR950186
ENSG00000302920	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000302638	9	1	3	3	2	0	2	5	4	2	0	6	5	2
ENSG00000287685	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSG00000277202	1	2	7	3	0	1	1	2	9	1	1	0	1	3
ENSG00000267470	80	70	79	52	46	51	42	115	104	43	35	54	36	39
ENSG00000264808	8	4	4	5	11	4	4	5	7	2	1	0	9	1
ENSG00000259314	11	20	11	7	2	8	4	26	19	6	5	3	4	6
ENSG00000255008	2	0	1	0	4	0	0	0	2	0	1	0	3	0
ENSG00000242699	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000215277	18	15	9	11	12	12	16	17	32	19	13	2	11	10
ENSG00000206952	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000289899	0	0	2	0	3	0	0	1	0	0	0	0	0	0
ENSG00000240625	0	1	2	4	0	0	2	1	1	3	2	4	0	3
ENSG00000216819	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000115194	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ENSG00000310033	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ENSG00000297105	4	1	1	1	2	9	3	6	5	3	3	0	0	1
ENSG00000291316	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000287984	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ENSG00000233446	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000197153	11	11	1	14	25	2	8	9	13	10	0	0	1	2
ENSG00000186106	226	262	192	162	51	124	218	294	250	197	140	318	208	259
ENSG00000177469	272	312	171	155	112	127	279	548	239	160	136	228	225	195
ENSG00000302341	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000302059	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000297982	0	2	0	0	0	2	0	0	0	0	2	0	0	0
ENSG00000297667	11	16	1	9	9	0	11	22	28	9	5	8	3	7
ENSG00000262902	5	25	26	11	48	16	33	13	30	22	15	6	10	29
ENSG00000255629	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000255311	3	1	4	1	4	1	0	9	4	7	3	7	6	3
ENSG00000253102	0	0	0	0	0	0	2	0	0	5	2	2	0	1
ENSG00000202427	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSG00000300001	1	4	3	3	2	0	0	3	7	1	0	0	3	0
ENSG00000296368	0	1	0	0	0	0	1	0	0	0	0	0	0	0
ENSG00000274979	138	142	121	63	16	39	48	325	156	45	43	80	52	72
ENSG00000264192	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000261209	14	13	16	19	0	13	9	30	15	12	22	11	0	18
ENSG00000259466	1	0	0	0	0	0	0	2	0	0	0	0	0	0
ENSG00000258627	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000255992	0	3	2	1	0	0	1	3	6	0	0	0	0	0
ENSG00000240002	8	9	10	6	0	8	11	14	37	7	14	4	2	6
ENSG00000237398	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000174448	2	1	0	3	5	0	0	4	1	4	1	4	0	0
ENSG00000296200	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ENSG00000295380	0	0	0	0	3	0	0	1	0	1	0	0	0	0
ENSG00000258549	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000252363	0	3	0	0	0	0	0	0	0	0	1	0	0	1
ENSG00000249262	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000229589	17	28	24	14	4	24	11	8	30	28	10	11	24	24
ENSG00000138623	112	49	12	56	169	11	15	169	138	16	5	11	4	14
ENSG00000105137	16	12	12	13	3	17	17	29	14	15	7	8	11	12
ENSG00000308313	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000289708	0	1	0	0	3	0	0	2	0	0	0	0	0	0
ENSG00000225359	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224778	0	0	0	0	0	0	0	1	0	0	0	0	0	1
ENSG00000201384	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ENSG00000147761	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000104324	298	314	265	221	87	147	318	476	361	337	234	516	315	390
ENSG00000302723	1	4	1	0	8	1	1	0	3	1	1	2	2	5
ENSG00000301599	0	1	1	1	11	4	1	0	0	4	0	0	0	0
ENSG00000295889	6	9	65	5	0	6	7	18	46	10	19	3	2	6
ENSG00000287756	6	4	7	3	7	4	2	1	12	5	4	3	3	0
ENSG00000271898	0	0	0	1	0	0	0	0	3	0	4	0	0	1
ENSG00000267673	0	1	2	0	0	0	0	0	5	0	1	0	0	1
ENSG00000242522	17	12	5	9	11	0	3	14	22	2	0	0	2	0
ENSG00000229886	0	1	0	1	0	0	1	0	1	0	0	0	0	0
ENSG00000220412	2	2	0	3	7	2	1	3	1	1	2	0	1	1
ENSG00000206885	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000122882	517	418	362	373	138	167	360	559	541	316	199	257	279	324
ENSG00000302911	1	1	0	1	0	1	0	0	0	3	0	0	0	1
ENSG00000287656	8	24	22	42	30	8	11	21	14	11	15	4	5	24
ENSG00000267441	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000231590	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000215905	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000163563	138	152	14	130	20	14	52	99	103	33	17	6	7	18
ENSG00000154529	16	7	7	5	5	7	4	12	11	7	0	4	6	1
ENSG00000303339	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000294761	1	0	0	0	0	0	0	0	1	0	0	0	0	2
ENSG00000289011	0	1	0	0	10	0	0	0	0	1	2	0	0	2
ENSG00000287398	0	0	0	0	2	0	0	0	0	0	2	0	0	0
ENSG00000286847	3	1	3	4	0	2	0	2	5	2	1	0	1	3
ENSG00000271456	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000258488	0	0	0	0	0	0	0	1	0	0	0	0	0	1
ENSG00000253980	1	8	2	6	2	0	1	3	2	2	1	3	0	2
